job_category,job_city,job_state,word,frequency
"DATA ANALYST",Chicago,IL,sql,73
"DATA ANALYST",Chicago,IL,excel,51
"DATA ANALYST",Chicago,IL,tableau,44
"DATA ANALYST",Chicago,IL,performance,43
"DATA ANALYST",Chicago,IL,statistics,30
"DATA ANALYST",Chicago,IL,python,28
"DATA ANALYST",Chicago,IL,r,25
"DATA ANALYST",Chicago,IL,programming,25
"DATA ANALYST",Chicago,IL,models,22
"DATA ANALYST",Chicago,IL,testing,22
"DATA ANALYST",Chicago,IL,mathematics,17
"DATA ANALYST",Chicago,IL,cloud,16
"DATA ANALYST",Chicago,IL,sas,15
"DATA ANALYST",Chicago,IL,agile,14
"DATA ANALYST",Chicago,IL,monitor,11
"DATA ANALYST",Chicago,IL,c,10
"DATA ANALYST",Chicago,IL,powerbi,10
"DATA ANALYST",Chicago,IL,regression,9
"DATA ANALYST",Chicago,IL,etl,7
"DATA ANALYST",Chicago,IL,processing,7
"DATA ANALYST",Chicago,IL,mining,6
"DATA ANALYST",Chicago,IL,automation,5
"DATA ANALYST",Chicago,IL,pipelines,5
"DATA ANALYST",Chicago,IL,spss,5
"DATA ANALYST",Chicago,IL,security,5
"DATA ANALYST",Chicago,IL,spark,4
"DATA ANALYST",Chicago,IL,hadoop,3
"DATA ANALYST",Chicago,IL,optimization,3
"DATA ANALYST",Chicago,IL,azure,3
"DATA ANALYST",Chicago,IL,hive,3
"DATA ANALYST",Chicago,IL,spreadsheets,3
"DATA ANALYST",Chicago,IL,segmentation,3
"DATA ANALYST",Chicago,IL,solid,3
"DATA ANALYST",Chicago,IL,ssis,3
"DATA ANALYST",Chicago,IL,scripting,2
"DATA ANALYST",Chicago,IL,aws,2
"DATA ANALYST",Chicago,IL,searching,2
"DATA ANALYST",Chicago,IL,modelling,2
"DATA ANALYST",Chicago,IL,ai,1
"DATA ANALYST",Chicago,IL,ml,1
"DATA ANALYST",Chicago,IL,kafka,1
"DATA ANALYST",Chicago,IL,docker,1
"DATA ANALYST",Chicago,IL,linux,1
"DATA ANALYST",Chicago,IL,bash,1
"DATA ANALYST",Chicago,IL,matlab,1
"DATA ANALYST",Chicago,IL,coding,1
"DATA ANALYST",Chicago,IL,qlik,1
"DATA ANALYST",Chicago,IL,pig,1
"DATA ANALYST",Chicago,IL,java,1
"DATA ANALYST",Chicago,IL,windows,1
"DATA ANALYST",Chicago,IL,probability,1
"DATA ANALYST",Chicago,IL,algorithms,1
