job_category,job_city,job_state,word,frequency
"DATA ANALYST","San Francisco",CA,sql,71
"DATA ANALYST","San Francisco",CA,tableau,46
"DATA ANALYST","San Francisco",CA,excel,44
"DATA ANALYST","San Francisco",CA,performance,42
"DATA ANALYST","San Francisco",CA,models,40
"DATA ANALYST","San Francisco",CA,python,34
"DATA ANALYST","San Francisco",CA,r,32
"DATA ANALYST","San Francisco",CA,statistics,27
"DATA ANALYST","San Francisco",CA,testing,22
"DATA ANALYST","San Francisco",CA,programming,18
"DATA ANALYST","San Francisco",CA,cloud,15
"DATA ANALYST","San Francisco",CA,sas,11
"DATA ANALYST","San Francisco",CA,mathematics,10
"DATA ANALYST","San Francisco",CA,agile,9
"DATA ANALYST","San Francisco",CA,processing,9
"DATA ANALYST","San Francisco",CA,security,8
"DATA ANALYST","San Francisco",CA,automation,8
"DATA ANALYST","San Francisco",CA,monitor,8
"DATA ANALYST","San Francisco",CA,c,8
"DATA ANALYST","San Francisco",CA,scripting,7
"DATA ANALYST","San Francisco",CA,powerbi,7
"DATA ANALYST","San Francisco",CA,solid,6
"DATA ANALYST","San Francisco",CA,hive,6
"DATA ANALYST","San Francisco",CA,ai,5
"DATA ANALYST","San Francisco",CA,algorithms,5
"DATA ANALYST","San Francisco",CA,etl,5
"DATA ANALYST","San Francisco",CA,optimization,5
"DATA ANALYST","San Francisco",CA,mining,5
"DATA ANALYST","San Francisco",CA,matlab,4
"DATA ANALYST","San Francisco",CA,regression,3
"DATA ANALYST","San Francisco",CA,git,3
"DATA ANALYST","San Francisco",CA,pipelines,3
"DATA ANALYST","San Francisco",CA,java,2
"DATA ANALYST","San Francisco",CA,migration,2
"DATA ANALYST","San Francisco",CA,segmentation,2
"DATA ANALYST","San Francisco",CA,spreadsheets,1
"DATA ANALYST","San Francisco",CA,searching,1
"DATA ANALYST","San Francisco",CA,coding,1
"DATA ANALYST","San Francisco",CA,javascript,1
"DATA ANALYST","San Francisco",CA,scipy,1
"DATA ANALYST","San Francisco",CA,numpy,1
"DATA ANALYST","San Francisco",CA,pandas,1
"DATA ANALYST","San Francisco",CA,spss,1
"DATA ANALYST","San Francisco",CA,qlik,1
"DATA ANALYST","San Francisco",CA,postgresql,1
"DATA ANALYST","San Francisco",CA,windows,1
"DATA ANALYST","San Francisco",CA,mysql,1
"DATA ANALYST","San Francisco",CA,scalability,1
"DATA ANALYST","San Francisco",CA,azure,1
