id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
300,"Data Management Analyst","DATA ANALYST",Avant,Chicago,IL,"$85,000 - $105,000 a year",100K+,75K+
301,"Data Risk Analyst","DATA ANALYST",Avant,Chicago,IL,None,None,None
302,"Analyst, Data & Analytics","DATA ANALYST","BMO Harris Bank",Chicago,IL,None,None,None
303,"Data Analyst (North of Chicago)","DATA ANALYST",Uline,Chicago,IL,None,None,None
304,"Business Intelligence Analyst","DATA ANALYST",Avant,Chicago,IL,"$60,000 - $70,000 a year",50K+,50K+
305,"Business Intelligence Analyst","DATA ANALYST",BOEING,Chicago,IL,None,None,None
306,"Remote Data Analyst","DATA ANALYST",Kelly,Chicago,IL,"$54 an hour",100K+,100K+
307,"Data Analyst","DATA ANALYST",Ascension,Chicago,IL,None,None,None
308,"Data Analyst","DATA ANALYST","ATHENA Consulting",Chicago,IL,"$26 an hour",50K+,50K+
309,"Senior Data Analyst","DATA ANALYST",Shortcut,Chicago,IL,"$90,000 - $110,000 a year",100K+,75K+
310,"Data Analyst (remote role) - D22-006399","DATA ANALYST","Evergreen Technologies, LLC.",Chicago,IL,"Estimated $68K - $86K a year",75K+,50K+
311,"Supply Chain Data Analyst","DATA ANALYST","Great Dane",Chicago,IL,None,None,None
312,"Entry Level Business Analyst","DATA ANALYST","AMGTech Solutions",Chicago,IL,"$65,000 - $75,000 a year",75K+,50K+
313,"Data Analyst I - Remote Available","DATA ANALYST",Envolve-MPC,Chicago,IL,None,None,None
314,"Data Analyst","DATA ANALYST","Indus Consulting Inc",Chicago,IL,"$75,000 - $90,000 a year",75K+,75K+
315,"Technical Data Analyst","DATA ANALYST","Baker Tilly US, LLP",Chicago,IL,None,None,None
316,"Sr. Business Analyst, Central Ops (Data Ops) - Uber Freight","DATA ANALYST",Uber,Chicago,IL,None,None,None
317,"Data Analyst","DATA ANALYST","C.H. Robinson",Chicago,IL,None,None,None
318,"Data Analyst 3 - Inventory Flow - HYBRID","DATA ANALYST","Nordstrom Inc",Chicago,IL,None,None,None
319,"Analyst, Warehouse Data","DATA ANALYST",Abbvie,Chicago,IL,None,None,None
320,"Data Analyst","DATA ANALYST","Ogletree Deakins",Chicago,IL,"Estimated $54.3K - $68.7K a year",50K+,50K+
321,"Data Analyst","DATA ANALYST","Jenner & Block LLP",Chicago,IL,"Estimated $53K - $67.2K a year",50K+,50K+
322,"People Data Analyst","DATA ANALYST","3Q Digital",Chicago,IL,"Estimated $60.9K - $77.1K a year",75K+,50K+
323,"Data Governance Analyst","DATA ANALYST","Home Partners of America Inc",Chicago,IL,None,None,None
324,"HR Data & Reporting Analyst","DATA ANALYST","Northern Trust Corp.",Chicago,IL,None,None,None
325,"Business Analyst","DATA ANALYST","Wintrust Financial Corporation",Chicago,IL,None,None,None
326,"Business Analyst","DATA ANALYST",Dyson,Chicago,IL,None,None,None
327,"Business Analyst-Data","DATA ANALYST","Backstop Solutions Group LLC",Chicago,IL,"Estimated $72.4K - $91.6K a year",75K+,50K+
328,"Data Analyst","DATA ANALYST","Peapod Digital Labs",Chicago,IL,None,None,None
329,"Business Intelligence Analyst","DATA ANALYST","The University of Chicago Medicine",Chicago,IL,None,None,None
330,"Associate eCommerce Data Analyst (North of Chicago)","DATA ANALYST",Uline,Chicago,IL,None,None,None
331,"Analyst, Reporting & Analytics","DATA ANALYST",UScellular,Chicago,IL,None,None,None
332,"Data Reporting Analyst","DATA ANALYST",Ahead,Chicago,IL,"Estimated $50.5K - $63.9K a year",50K+,50K+
333,"Entry Level Business Analyst","DATA ANALYST",Microflexinfra,Chicago,IL,"$62,000 - $70,000 a year",50K+,50K+
334,"Technical Program Specialist - Data Analytics","DATA ANALYST",Uber,Chicago,IL,None,None,None
335,"Entry Level Business Analyst","DATA ANALYST",BACloudSystems,Chicago,IL,"$60,000 - $70,000 a year",50K+,50K+
336,"Entry Level Business Analyst","DATA ANALYST",Weboptimix,Chicago,IL,"$62,000 - $70,000 a year",50K+,50K+
337,"Analyst, HR Data Analytics","DATA ANALYST","Northern Trust Corp.",Chicago,IL,None,None,None
338,"Analyst I","DATA ANALYST",Angi,Chicago,IL,None,None,None
