id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
150,"Data Entry Clerk/Data Analyst","DATA ANALYST","sf coin & antique","San Francisco",CA,"$30 an hour",50K+,50K+
151,"Data Analyst","DATA ANALYST",Netomi,"San Francisco",CA,"$80,000 - $100,000 a year",100K+,75K+
152,"Data Analyst","DATA ANALYST","The Mom Project","San Francisco",CA,"$74.24 an hour",125K+,125K+
153,"Data Analyst","DATA ANALYST",BitTorrent,"San Francisco",CA,"Up to $120,000 a year",100K+,100K+
154,"Data Analyst","DATA ANALYST",Turo,"San Francisco",CA,"Estimated $58.7K – $74.3K a year",50K+,50K+
155,"Data Analyst, Growth","DATA ANALYST","West CAP","San Francisco",CA,"Estimated $88.8K – $112K a year",100K+,75K+
156,"Data Analyst, Growth","DATA ANALYST",NorthOne,"San Francisco",CA,"Estimated $63.9K – $80.9K a year",75K+,50K+
157,"Business Intelligence Analyst *Entry Level*","DATA ANALYST","PCS GLOBAL TECH","San Francisco",CA,"$58,245 - $129,979 a year",125K+,50K+
158,"Data Analyst","DATA ANALYST",Sessions,"San Francisco",CA,"Estimated $89.5K – $113K a year",100K+,75K+
159,"DATAA001198 Data Analyst","DATA ANALYST","Northern California Institute for Research and Education","San Francisco",CA,"$70,021 - $142,367 a year",125K+,50K+
160,"Data Analyst","DATA ANALYST",Tron,"San Francisco",CA,"Estimated $69K – $87.4K a year",75K+,50K+
161,"Junior Business Analyst - 222-0000152","DATA ANALYST","Evergreen Technologies, LLC.","San Francisco",CA,"Estimated $64.7K – $81.9K a year",75K+,50K+
162,"Institutional Data Analyst","DATA ANALYST","University of San Francisco","San Francisco",CA,"Estimated $76.2K – $96.4K a year",75K+,75K+
163,"Data Analyst","DATA ANALYST","Cumming Group","San Francisco",CA,"Estimated $74.8K – $94.8K a year",75K+,50K+
164,"Data Analyst - Orthopedic Research","DATA ANALYST","The Stone Reseach Foundation","San Francisco",CA,"Estimated $63.3K – $80.1K a year",75K+,50K+
165,"Clinical Data Analyst","DATA ANALYST","CCHP Health Plan","San Francisco",CA,"Estimated $75.4K – $95.4K a year",75K+,75K+
166,"HR Data Analyst","DATA ANALYST","Odoo, Inc.","San Francisco",CA,"$60,000 - $90,000 a year",75K+,50K+
167,"CRM Data Analyst","DATA ANALYST","Cool-Minds LLC","San Francisco",CA,"$55 - $60 an hour",100K+,100K+
168,"Research Data Analyst","DATA ANALYST","University of California San Francisco","San Francisco",CA,None,None,None
169,"Business Intelligence Analyst","DATA ANALYST","University of California San Francisco","San Francisco",CA,None,None,None
170,"Business Intelligence Data Analyst – FC2222-00536","DATA ANALYST","Evergreen Technologies, LLC.","San Francisco",CA,"Estimated $67.5K – $85.5K a year",75K+,50K+
171,"Data Analyst","DATA ANALYST",Workstream,"San Francisco",CA,"Estimated $85.2K – $108K a year",100K+,75K+
172,"Data Analyst","DATA ANALYST",RPX,"San Francisco",CA,"Estimated $66.5K – $84.3K a year",75K+,50K+
173,"140: Data Analyst","DATA ANALYST",Dataspace,"San Francisco",CA,"$102,000 - $150,000 a year",150K+,100K+
174,"Data Analyst","DATA ANALYST","First Republic Bank","San Francisco",CA,None,None,None
175,"Scientific Data and Informatics Analyst","DATA ANALYST","Vitalant Research Institute","San Francisco",CA,"$65,000 - $75,000 a year",75K+,50K+
176,"Strategy & Business Modeling Business Analyst - Summer 2022 Start Date","DATA ANALYST",BTS,"San Francisco",CA,"Estimated $69.2K – $87.6K a year",75K+,50K+
177,"Data Analyst - JetFuel","DATA ANALYST",Liftoff+Vungle,"San Francisco",CA,"Estimated $62.8K – $79.6K a year",75K+,50K+
178,"Research Data Analyst III","DATA ANALYST","University of California San Francisco","San Francisco",CA,None,None,None
179,"Data Analyst (Growth)","DATA ANALYST",Curology,"San Francisco",CA,"Estimated $90.1K – $114K a year",100K+,75K+
180,"Data Quality Analyst","DATA ANALYST","The Mom Project","San Francisco",CA,"$62.17 an hour",100K+,100K+
181,"Data and Reporting Analyst","DATA ANALYST",Kelly,"San Francisco",CA,None,None,None
182,"Data Analyst","DATA ANALYST",Kforce,"San Francisco",CA,None,None,None
183,"Product Insights Analyst - 24087","DATA ANALYST",Splunk,"San Francisco",CA,None,None,None
184,"HR Data Analyst","DATA ANALYST",Tron,"San Francisco",CA,"Estimated $70.2K - $88.8K a year",75K+,50K+
185,"BI Data Analyst","DATA ANALYST",Credible,"San Francisco",CA,"Estimated $86.4K - $109K a year",100K+,75K+
186,"Junior Business Analyst","DATA ANALYST",Deloitte,"San Francisco",CA,None,None,None
187,"Strategy Execution Consultant - Business Analyst Level, Summer 2022 Start Date","DATA ANALYST",BTS,"San Francisco",CA,None,None,None
188,"Business Intelligence Analyst","DATA ANALYST",BuildZoom,"San Francisco",CA,"$60,000 - $95,000 a year",75K+,50K+
189,"Senior Data Analyst - Office of Economic and Workforce Development (1823)","DATA ANALYST","City and County of San Francisco","San Francisco",CA,None,None,None
190,"People Data Analyst","DATA ANALYST","Facebook App","San Francisco",CA,None,None,None
191,"Entry Level Business Analyst","DATA ANALYST",CapitalPlanHoldings,"San Francisco",CA,"$62,000 - $70,000 a year",50K+,50K+
192,"Data Systems Analyst","DATA ANALYST","University of California San Francisco","San Francisco",CA,None,None,None
193,"Data Analyst I (Project Bound) (Part-Time)","DATA ANALYST","NextEra Energy","San Francisco",CA,None,None,None
194,"Data Analytics Associate","DATA ANALYST",SmithRx,"San Francisco",CA,"Estimated $66.7K - $84.5K a year",75K+,50K+
195,"Finance Data Analyst","DATA ANALYST","Human Interest","San Francisco",CA,"Estimated $59.8K - $75.8K a year",75K+,50K+
196,"Senior Revenue Data Analyst","DATA ANALYST",DoorDash,"San Francisco",CA,None,None,None
197,"Data Analyst - Client Experience","DATA ANALYST","The Mom Project","San Francisco",CA,"$50.75 an hour",75K+,75K+
198,"Data Analyst","DATA ANALYST","Premier Talent Partners","San Francisco",CA,"$29.03 - $32.26 an hour",50K+,50K+
199,"Data Analyst","DATA ANALYST","Pyramid Consulting, Inc","San Francisco",CA,None,None,None
200,"Data Analyst","DATA ANALYST","MATRIX Resources","San Francisco",CA,None,None,None
201,"Data & Analytics - Analyst","DATA ANALYST","Amazon Advertising LLC","San Francisco",CA,None,None,None
202,"Data Analyst - JetFuel","DATA ANALYST",Liftoff+Vungle,"San Francisco",CA,"Estimated $62.8K - $79.6K a year",75K+,50K+
203,"Data Analytics Consulting - Experienced Associate","DATA ANALYST","PRICE WATERHOUSE COOPERS","San Francisco",CA,None,None,None
204,"Product Analyst","DATA ANALYST","Canary Technologies","San Francisco",CA,"Estimated $60.6K - $76.8K a year",75K+,50K+
205,"Product Analyst","DATA ANALYST",UnitedMasters,"San Francisco",CA,"Estimated $52.3K - $66.3K a year",50K+,50K+
206,"BI Reporting Analyst","DATA ANALYST","FocusKPI Inc.","San Francisco",CA,"Estimated $79.3K - $100K a year",100K+,75K+
207,"Business Analyst","DATA ANALYST",Affirm,"San Francisco",CA,"Estimated $65.4K - $82.8K a year",75K+,50K+
