id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
375,"SQL Data Analyst","DATA ANALYST","Webhelp Americas",Austin,TX,"$90,000 - $110,000 a year",100K+,75K+
376,"Business Analyst - Apple Media Products -","DATA ANALYST",Apple,Austin,TX,None,None,None
377,"Fraud Data Analyst -","DATA ANALYST",Apple,Austin,TX,None,None,None
378,"Business Analyst - Data Warehouse","DATA ANALYST","Daman, Inc.",Austin,TX,"From $80 an hour",150K+,150K+
379,"Data Analyst","DATA ANALYST","RAYBEAM/DEPT®",Austin,TX,"Estimated $75.5K - $95.5K a year",75K+,75K+
380,"Meter Data Analyst Sr - AUSTIN, TEXAS","DATA ANALYST",LCRA,Austin,TX,"Estimated $78.5K - $99.5K a year",75K+,75K+
381,"Business Data Analyst","DATA ANALYST",Pinkerton,Austin,TX,None,None,None
382,"eCommerce Product Data Analyst - Austin, TX or Remote","DATA ANALYST","Other World Computing",Austin,TX,"Estimated $49.2K - $62.4K a year",50K+,50K-
383,"Remote Data Analyst","DATA ANALYST",CyberCoders,Austin,TX,"$100,000 - $120,000 a year",100K+,100K+
384,"Data Analyst","DATA ANALYST","CDC Foundation ( Contract)",Austin,TX,"$66,000 - $72,000 a year",50K+,50K+
385,"Customer Data Analyst (Remote)","DATA ANALYST",Pearson,Austin,TX,None,None,None
386,"Data Analyst III","DATA ANALYST","Health & Human Services Comm",Austin,TX,"$4,301 - $7,040 a month",75K+,50K+
387,"Operations Business Analyst","DATA ANALYST",Oracle,Austin,TX,None,None,None
388,"Data Analyst - Material Flow","DATA ANALYST",Tesla,Austin,TX,None,None,None
389,"Data Analyst Entry Level","DATA ANALYST","PCS GLOBAL TECH",Austin,TX,"$60,000 - $65,000 a year",50K+,50K+
390,"Business Analyst","DATA ANALYST",Accenture,Austin,TX,None,None,None
391,"Data Reporting Analyst","DATA ANALYST","iTalent Digital",Austin,TX,"$65,000 - $75,000 a year",75K+,50K+
392,"Business Analyst / Tableau / Data Insights/ML","DATA ANALYST",Apple,Austin,TX,None,None,None
393,"Business Intelligence Data Analyst (Remote based anywhere in US)","DATA ANALYST","Pitney Bowes",Austin,TX,None,None,None
394,"Data Analyst","DATA ANALYST",TEKsystems,Austin,TX,None,None,None
395,"Data Analyst","DATA ANALYST","C.H. Robinson",Austin,TX,None,None,None
396,"Data Operations Analyst","DATA ANALYST","Whole Foods Market",Austin,TX,None,None,None
397,"Analyst, Data Analytics","DATA ANALYST","LPL Financial",Austin,TX,None,None,None
398,"Business Systems Analyst, Customer Management Solutions, Data Analytics","DATA ANALYST",Google,Austin,TX,None,None,None
399,"Data Quality Analyst","DATA ANALYST",PayPal,Austin,TX,None,None,None
400,"People Data Analyst","DATA ANALYST","3Q Digital",Austin,TX,"Estimated $61.2K – $77.6K a year",75K+,50K+
401,"Global Applications Business Analyst","DATA ANALYST",Oracle,Austin,TX,None,None,None
402,"Forecast Analyst","DATA ANALYST","Health & Human Services Comm",Austin,TX,"$5,000 - $8,000 a month",75K+,50K+
403,"Data Analyst","DATA ANALYST","Allied Universal® Executive Protection and Intelligence Services",Austin,TX,None,None,None
404,"Data Analyst, Customer Analytics","DATA ANALYST","YETI Coolers",Austin,TX,"Estimated $77.8K – $98.4K a year",75K+,75K+
405,"Data and Reporting Analyst, Spectrum Enterprise","DATA ANALYST",SPECTRUM,Austin,TX,None,None,None
406,"Data Visualization Specialist -","DATA ANALYST",Apple,Austin,TX,None,None,None
407,"Case Analyst","DATA ANALYST","Aperture LLC",Austin,TX,"Estimated $43.9K - $55.5K a year",50K+,50K-
408,"Business Analyst","DATA ANALYST","The Mom Project",Austin,TX,"$34.92 an hour",50K+,50K+
409,"Quality Analyst","DATA ANALYST","Health & Human Services Comm",Austin,TX,"$4,024 - $6,579 a month",75K+,50K-
410,"Business Systems Analyst, Supply Chain, Finance, Master Data","DATA ANALYST",Google,Austin,TX,None,None,None
411,"Corp Jr. Data Analyst","DATA ANALYST","SHI International Corp.",Austin,TX,None,None,None
412,"Business Analyst II","DATA ANALYST","Texas Department of Transportation",Austin,TX,"$51,614 - $84,479 a year",75K+,50K+
413,"Business Analyst","DATA ANALYST",Visa,Austin,TX,None,None,None
414,"EDI Analyst","DATA ANALYST","General Motors",Austin,TX,None,None,None
415,"Corp Operations Analyst","DATA ANALYST","SHI International Corp.",Austin,TX,None,None,None
416,"Business Analyst","DATA ANALYST","L'Oreal",Austin,TX,None,None,None
417,"Meter Data Analyst Sr","DATA ANALYST","Lower Colorado River Authority",Austin,TX,"Estimated $77K - $97.6K a year",75K+,75K+
418,"GCDO Internal Data Product Analyst","DATA ANALYST","PRICE WATERHOUSE COOPERS",Austin,TX,None,None,None
419,"Data Analytics Consulting - Experienced Associate","DATA ANALYST","PRICE WATERHOUSE COOPERS",Austin,TX,None,None,None
420,"Senior Business Analyst","DATA ANALYST",Indeed,Austin,TX,"$74,000 - $108,000 a year",100K+,50K+
421,"Data Analyst (REMOTE)","DATA ANALYST","Ryder System",Austin,TX,None,None,None
422,"Business Analyst, Factory Software Systems","DATA ANALYST",Tesla,Austin,TX,None,None,None
423,"Data Visualization Specialist - Opioids","DATA ANALYST","Dept of State Health Services",Austin,TX,"$3,763 - $5,000 a month",50K+,50K-
