id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
75,"Data Analyst","DATA ANALYST","NYU Langone Health","New York",NY,None,None,None
76,"Data Analyst","DATA ANALYST","UTILITY CONSTRUCTION","New York",NY,"$80,000 - $120,000 a year",100K+,75K+
77,"Data Analyst - Merchandising (Remote)","DATA ANALYST",CustomInk,"New York",NY,"Estimated $71.9K - $91.1K a year",75K+,50K+
78,"Data Analyst","DATA ANALYST","Qi Venture Partners","New York",NY,"$65,000 - $75,000 a year",75K+,50K+
79,"Data Analyst","DATA ANALYST","Care for the Homeless","New York",NY,"Estimated $54.6K - $69.2K a year",50K+,50K+
80,"Jr. Data Analyst","DATA ANALYST","Colsh Tech","New York",NY,"$65,000 - $80,000 a year",75K+,50K+
81,"Data Analyst Entry Level","DATA ANALYST","PCS GLOBAL TECH","New York",NY,"$60,000 - $70,000 a year",50K+,50K+
82,"Data Analyst (remote role) - D22-006399","DATA ANALYST","Evergreen Technologies, LLC.","New York",NY,"Estimated $74.9K - $94.9K a year",75K+,50K+
83,"Data Analyst (Remote)","DATA ANALYST",pulseData,"New York",NY,"$60,000 - $80,000 a year",75K+,50K+
84,"Junior Data Analyst","DATA ANALYST",MealPal,"New York",NY,"Estimated $58.5K - $74.1K a year",50K+,50K+
85,"Data Analyst","DATA ANALYST","Sony Music Publishing (US) LLC","New York",NY,None,None,None
86,"Data Analyst (Remote)","DATA ANALYST",MIRROR,"New York",NY,"Estimated $79K - $100K a year",100K+,75K+
87,"Data Analyst","DATA ANALYST","Northwell Health","New York",NY,None,None,None
88,"Data Analyst","DATA ANALYST","6elm Capital","New York",NY,"$80,000 - $100,000 a year",100K+,75K+
89,"Data Analyst","DATA ANALYST","Valon Mortgage","New York",NY,"Estimated $78K - $98.8K a year",75K+,75K+
90,"Revenue Cycle Analyst-Patient Access","DATA ANALYST","NYU Langone Health","New York",NY,None,None,None
91,"Data Analyst","DATA ANALYST","Cityblock Health","New York",NY,"Estimated $86.4K – $109K a year",100K+,75K+
92,"Data Analyst and Reporting Specialist","DATA ANALYST","The Bridge Inc.","New York",NY,"Estimated $53.2K – $67.4K a year",50K+,50K+
93,"Business Analyst","DATA ANALYST","Ana-Data Consulting Inc","New York",NY,"$65 - $78 an hour",150K+,125K+
94,"Data Analyst","DATA ANALYST","Jenner & Block LLP","New York",NY,"Estimated $57K – $72.2K a year",50K+,50K+
95,"Data Analyst","DATA ANALYST",Netomi,"New York",NY,"$80,000 - $100,000 a year",100K+,75K+
96,"Data Analyst","DATA ANALYST","New York University","New York",NY,None,None,None
97,"Data Analyst","DATA ANALYST","Michael Page","New York",NY,"$60,000 - $125,000 a year",125K+,50K+
98,"Data Analyst, Growth","DATA ANALYST","West CAP","New York",NY,"Estimated $80.5K – $102K a year",100K+,75K+
99,"Data Analyst","DATA ANALYST","Digital Remedy","New York",NY,"Estimated $73.1K – $92.5K a year",75K+,50K+
