job_category,job_city,job_state,word,frequency
"DATA ENGINEER",Boston,MA,cloud,109
"DATA ENGINEER",Boston,MA,aws,95
"DATA ENGINEER",Boston,MA,sql,84
"DATA ENGINEER",Boston,MA,python,77
"DATA ENGINEER",Boston,MA,pipelines,72
"DATA ENGINEER",Boston,MA,spark,48
"DATA ENGINEER",Boston,MA,etl,45
"DATA ENGINEER",Boston,MA,performance,43
"DATA ENGINEER",Boston,MA,processing,39
"DATA ENGINEER",Boston,MA,agile,36
"DATA ENGINEER",Boston,MA,programming,35
"DATA ENGINEER",Boston,MA,models,33
"DATA ENGINEER",Boston,MA,c,33
"DATA ENGINEER",Boston,MA,azure,33
"DATA ENGINEER",Boston,MA,java,33
"DATA ENGINEER",Boston,MA,testing,32
"DATA ENGINEER",Boston,MA,hadoop,23
"DATA ENGINEER",Boston,MA,kafka,21
"DATA ENGINEER",Boston,MA,ai,21
"DATA ENGINEER",Boston,MA,security,19
"DATA ENGINEER",Boston,MA,optimization,17
"DATA ENGINEER",Boston,MA,apache,17
"DATA ENGINEER",Boston,MA,automation,16
"DATA ENGINEER",Boston,MA,algorithms,16
"DATA ENGINEER",Boston,MA,scripting,16
"DATA ENGINEER",Boston,MA,tableau,16
"DATA ENGINEER",Boston,MA,scala,16
"DATA ENGINEER",Boston,MA,r,14
"DATA ENGINEER",Boston,MA,git,14
"DATA ENGINEER",Boston,MA,mathematics,14
"DATA ENGINEER",Boston,MA,linux,14
"DATA ENGINEER",Boston,MA,docker,13
"DATA ENGINEER",Boston,MA,nosql,13
"DATA ENGINEER",Boston,MA,solid,12
"DATA ENGINEER",Boston,MA,ci,12
"DATA ENGINEER",Boston,MA,cd,11
"DATA ENGINEER",Boston,MA,statistics,9
"DATA ENGINEER",Boston,MA,monitor,9
"DATA ENGINEER",Boston,MA,kubernetes,9
"DATA ENGINEER",Boston,MA,modelling,8
"DATA ENGINEER",Boston,MA,pandas,8
"DATA ENGINEER",Boston,MA,postgresql,8
"DATA ENGINEER",Boston,MA,mysql,8
"DATA ENGINEER",Boston,MA,hive,7
"DATA ENGINEER",Boston,MA,unix,7
"DATA ENGINEER",Boston,MA,ml,7
"DATA ENGINEER",Boston,MA,javascript,7
"DATA ENGINEER",Boston,MA,coding,7
"DATA ENGINEER",Boston,MA,scalability,6
"DATA ENGINEER",Boston,MA,kinesis,5
"DATA ENGINEER",Boston,MA,hbase,4
"DATA ENGINEER",Boston,MA,perl,3
"DATA ENGINEER",Boston,MA,mongodb,3
"DATA ENGINEER",Boston,MA,mapreduce,3
"DATA ENGINEER",Boston,MA,windows,3
"DATA ENGINEER",Boston,MA,powerbi,3
"DATA ENGINEER",Boston,MA,matlab,2
"DATA ENGINEER",Boston,MA,probability,2
"DATA ENGINEER",Boston,MA,segmentation,2
"DATA ENGINEER",Boston,MA,storm,2
"DATA ENGINEER",Boston,MA,cassandra,2
"DATA ENGINEER",Boston,MA,nlp,2
"DATA ENGINEER",Boston,MA,redis,2
"DATA ENGINEER",Boston,MA,regression,2
"DATA ENGINEER",Boston,MA,numpy,2
"DATA ENGINEER",Boston,MA,excel,1
"DATA ENGINEER",Boston,MA,matillion,1
"DATA ENGINEER",Boston,MA,mining,1
"DATA ENGINEER",Boston,MA,sqoop,1
"DATA ENGINEER",Boston,MA,sas,1
"DATA ENGINEER",Boston,MA,scikit,1
"DATA ENGINEER",Boston,MA,flink,1
"DATA ENGINEER",Boston,MA,cloudera,1
"DATA ENGINEER",Boston,MA,spreadsheets,1
"DATA ENGINEER",Boston,MA,ssis,1
