job_category,job_city,job_state,word,frequency
"DATA ENGINEER","New York",NY,python,87
"DATA ENGINEER","New York",NY,pipelines,86
"DATA ENGINEER","New York",NY,cloud,81
"DATA ENGINEER","New York",NY,sql,78
"DATA ENGINEER","New York",NY,aws,63
"DATA ENGINEER","New York",NY,etl,50
"DATA ENGINEER","New York",NY,spark,50
"DATA ENGINEER","New York",NY,models,42
"DATA ENGINEER","New York",NY,performance,41
"DATA ENGINEER","New York",NY,processing,37
"DATA ENGINEER","New York",NY,programming,37
"DATA ENGINEER","New York",NY,java,35
"DATA ENGINEER","New York",NY,hadoop,27
"DATA ENGINEER","New York",NY,agile,25
"DATA ENGINEER","New York",NY,scala,24
"DATA ENGINEER","New York",NY,tableau,24
"DATA ENGINEER","New York",NY,testing,24
"DATA ENGINEER","New York",NY,c,20
"DATA ENGINEER","New York",NY,azure,19
"DATA ENGINEER","New York",NY,r,18
"DATA ENGINEER","New York",NY,hive,18
"DATA ENGINEER","New York",NY,automation,16
"DATA ENGINEER","New York",NY,kafka,16
"DATA ENGINEER","New York",NY,algorithms,14
"DATA ENGINEER","New York",NY,scripting,14
"DATA ENGINEER","New York",NY,git,14
"DATA ENGINEER","New York",NY,statistics,14
"DATA ENGINEER","New York",NY,apache,14
"DATA ENGINEER","New York",NY,solid,13
"DATA ENGINEER","New York",NY,optimization,13
"DATA ENGINEER","New York",NY,mathematics,13
"DATA ENGINEER","New York",NY,security,12
"DATA ENGINEER","New York",NY,scalability,12
"DATA ENGINEER","New York",NY,coding,10
"DATA ENGINEER","New York",NY,nosql,10
"DATA ENGINEER","New York",NY,linux,9
"DATA ENGINEER","New York",NY,ml,9
"DATA ENGINEER","New York",NY,docker,8
"DATA ENGINEER","New York",NY,kubernetes,8
"DATA ENGINEER","New York",NY,kinesis,7
"DATA ENGINEER","New York",NY,bash,7
"DATA ENGINEER","New York",NY,ai,7
"DATA ENGINEER","New York",NY,ci,7
"DATA ENGINEER","New York",NY,cd,7
"DATA ENGINEER","New York",NY,javascript,6
"DATA ENGINEER","New York",NY,excel,6
"DATA ENGINEER","New York",NY,mysql,6
"DATA ENGINEER","New York",NY,mining,5
"DATA ENGINEER","New York",NY,pandas,5
"DATA ENGINEER","New York",NY,hbase,5
"DATA ENGINEER","New York",NY,flink,5
"DATA ENGINEER","New York",NY,mongodb,5
"DATA ENGINEER","New York",NY,mapreduce,4
"DATA ENGINEER","New York",NY,redis,4
"DATA ENGINEER","New York",NY,cassandra,4
"DATA ENGINEER","New York",NY,monitor,4
"DATA ENGINEER","New York",NY,unix,3
"DATA ENGINEER","New York",NY,modelling,3
"DATA ENGINEER","New York",NY,postgresql,3
"DATA ENGINEER","New York",NY,powerbi,3
"DATA ENGINEER","New York",NY,sas,2
"DATA ENGINEER","New York",NY,matlab,2
"DATA ENGINEER","New York",NY,pig,2
"DATA ENGINEER","New York",NY,cloudera,2
"DATA ENGINEER","New York",NY,openshift,2
"DATA ENGINEER","New York",NY,probability,2
"DATA ENGINEER","New York",NY,ssis,1
"DATA ENGINEER","New York",NY,qlik,1
"DATA ENGINEER","New York",NY,sqoop,1
"DATA ENGINEER","New York",NY,dbms,1
"DATA ENGINEER","New York",NY,regression,1
"DATA ENGINEER","New York",NY,numpy,1
"DATA ENGINEER","New York",NY,plotly,1
"DATA ENGINEER","New York",NY,segmentation,1
"DATA ENGINEER","New York",NY,stitch,1
"DATA ENGINEER","New York",NY,migration,1
"DATA ENGINEER","New York",NY,oop,1
"DATA ENGINEER","New York",NY,pytorch,1
"DATA ENGINEER","New York",NY,tensorflow,1
"DATA ENGINEER","New York",NY,seaborn,1
"DATA ENGINEER","New York",NY,matplotlib,1
