id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
825,"Data Engineer (Fully Remote)","DATA ENGINEER",BOEING,Austin,TX,None,None,None
826,"Full Stack Engineer - IS Data Services","DATA ENGINEER",Apple,Austin,TX,None,None,None
827,"Machine Learning Data Engineer","DATA ENGINEER",Apple,Austin,TX,None,None,None
828,"Reporting Data Engineer","DATA ENGINEER",Apple,Austin,TX,None,None,None
829,"Data Engineer - Telecommute","DATA ENGINEER","UnitedHealth Group",Austin,TX,None,None,None
830,"Application Engineer, Generalist Data and Reporting","DATA ENGINEER",Google,Austin,TX,"$130,000 - $139,000 a year",125K+,125K+
831,"Big Data Engineer","DATA ENGINEER","Michael Page",Austin,TX,"$120,000 - $175,000 a year",150K+,100K+
832,"Data Engineer","DATA ENGINEER","Roc Search",Austin,TX,"$45 - $65 an hour",125K+,75K+
833,"Data Engineer","DATA ENGINEER",CyberCoders,Austin,TX,"$150,000 - $200,000 a year",200K+,150K+
834,"Data Engineer, Analytics (University Grad)","DATA ENGINEER",Meta,Austin,TX,None,None,None
835,"Data Warehouse Engineer","DATA ENGINEER",FloSports,Austin,TX,"$150,000 - $190,000 a year",150K+,150K+
836,"Data Scientist/Engineer","DATA ENGINEER",Oracle,Austin,TX,None,None,None
837,"Data Engineer - Telecommute","DATA ENGINEER",Optum,Austin,TX,None,None,None
838,"(Junior / Senior) Data Engineer - Sports Analytics","DATA ENGINEER","Zelus Analytics",Austin,TX,"$75,000 - $150,000 a year",150K+,75K+
839,"Data Center Engineer (Night Shift)","DATA ENGINEER","BCS Data Center Operations",Austin,TX,"$88,912 - $177,977 a year",150K+,75K+
840,"Data Science Engineer - Strategic Data Solutions","DATA ENGINEER",Apple,Austin,TX,None,None,None
841,"Big Data Engineer","DATA ENGINEER","Michael Page",Austin,TX,"$120,000 - $175,000 a year",150K+,100K+
842,"Data Analytics Engineer","DATA ENGINEER",Deloitte,Austin,TX,None,None,None
843,"Data Analytics Engineer","DATA ENGINEER","General Motors",Austin,TX,None,None,None
844,"Software Development Engineer - Big Data Processing & Analytics","DATA ENGINEER","Amazon.com Services LLC",Austin,TX,None,None,None
845,"Senior Data Engineer/Associate Architect","DATA ENGINEER",Micron,Austin,TX,"Estimated $113K – $143K a year",125K+,100K+
846,"Quality Data Engineer","DATA ENGINEER",Tesla,Austin,TX,None,None,None
847,"Data Engineer, Treasury Technology","DATA ENGINEER","Amazon.com Services LLC",Austin,TX,None,None,None
848,"Associate Data & Machine Learning Engineer","DATA ENGINEER","Amazon Web Services, Inc.",Austin,TX,"$82,600 a year",75K+,75K+
849,"Data Engineer (Remote)","DATA ENGINEER","Advanced Tech Placement",Austin,TX,"$120,000 - $150,000 a year",150K+,100K+
850,"Data Engineer - Undergrad New College Grad - Multiple Locations - 2022","DATA ENGINEER",Visa,Austin,TX,None,None,None
851,"Senior Specialist Data Engineer","DATA ENGINEER","Charles Schwab",Austin,TX,None,None,None
852,"Software Data Engineer","DATA ENGINEER",OSG,Austin,TX,"Estimated $112K – $142K a year",125K+,100K+
853,"Sr. Data Engineer","DATA ENGINEER","Southside Bank",Austin,TX,"Estimated $93.1K – $118K a year",100K+,75K+
854,"Software Engineer, Data Engineering, Toolbox Software","DATA ENGINEER",Tesla,Austin,TX,None,None,None
855,"iPhone Data Analysis/Software Engineer","DATA ENGINEER",Apple,Austin,TX,None,None,None
856,"Business Intelligence / Data Visualization Engineer","DATA ENGINEER",Apple,Austin,TX,None,None,None
857,"CAD Engineer - Data Analytics","DATA ENGINEER",Apple,Austin,TX,None,None,None
858,"Data Platforms Engineer - Wallet & Apple Pay -","DATA ENGINEER",Apple,Austin,TX,None,None,None
859,"Software Engineer - Big Data Platform","DATA ENGINEER",Apple,Austin,TX,None,None,None
860,"Big Data Engineer","DATA ENGINEER","Michael Page",Austin,TX,"$120,000 - $175,000 a year",150K+,100K+
861,"Entry Level Data Engineer","DATA ENGINEER","PCS GLOBAL TECH",Austin,TX,"$65,000 - $70,000 a year",50K+,50K+
862,"Sr. Data Engineer","DATA ENGINEER",Glassdoor,Austin,TX,"$130,500 - $195,700 a year",150K+,125K+
863,"Sr Data Platform Engineer, Database Engineering","DATA ENGINEER",Tesla,Austin,TX,None,None,None
864,"Data Application Engineer, Corporate Engineering","DATA ENGINEER",Google,Austin,TX,None,None,None
865,"Software Engineer II, Data Platform","DATA ENGINEER",HEB,Austin,TX,None,None,None
866,"Backend Software Development Engineer (All Levels) - C360 Data, Engagement & Search Engineering","DATA ENGINEER",Salesforce,Austin,TX,"$98,900 a year",75K+,75K+
867,"Data Platform Engineer II","DATA ENGINEER",HEB,Austin,TX,None,None,None
868,"Data Automation Engineer","DATA ENGINEER",Merck,Austin,TX,None,None,None
869,"Data Pipelines Engineer, Battery Automation Software (Austin)","DATA ENGINEER",Tesla,Austin,TX,None,None,None
870,"Senior Database Engineer - Data Services (Austin TX OR Elk Grove, CA)","DATA ENGINEER",Apple,Austin,TX,None,None,None
871,"Big Data Engineer","DATA ENGINEER","Michael Page",Austin,TX,"$120,000 - $175,000 a year",150K+,100K+
