id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
600,"Data Engineer","DATA ENGINEER","DCI Solutions","San Francisco",CA,"$175,000 - $225,000 a year",200K+,150K+
601,"Frontend Engineer - Marketplace Intelligence and Data","DATA ENGINEER",Uber,"San Francisco",CA,None,None,None
602,"Data Engineer - Geospatial Modeling","DATA ENGINEER",Envision,"San Francisco",CA,"Estimated $121K - $153K a year",150K+,100K+
603,"Data Engineer","DATA ENGINEER",DoorDash,"San Francisco",CA,None,None,None
604,"Data Engineer - Remote","DATA ENGINEER","Insight Global","San Francisco",CA,None,None,None
605,"Data Engineer","DATA ENGINEER",Glassdoor,"San Francisco",CA,"Estimated $111K - $141K a year",125K+,100K+
606,"Data Engineer","DATA ENGINEER",Twilio,"San Francisco",CA,"Estimated $127K - $161K a year",150K+,125K+
607,"Data Engineer","DATA ENGINEER",Airtable,"San Francisco",CA,"Estimated $117K - $148K a year",125K+,100K+
608,"Backend Software Development Engineer (All Levels) - C360 Data, Engagement & Search Engineering","DATA ENGINEER",Salesforce,"San Francisco",CA,"$98,900 a year",75K+,75K+
609,"Software Engineer - Data","DATA ENGINEER",Twitch,"San Francisco",CA,None,None,None
610,"Sales Engineer, Data Management, Google Cloud","DATA ENGINEER",Google,"San Francisco",CA,None,None,None
611,"Associate Data Engineer","DATA ENGINEER",Ubisoft,"San Francisco",CA,None,None,None
612,"Data Engineer (m/f/d) Remote","DATA ENGINEER",360dialog,"San Francisco",CA,"$40,000 - $100,000 a year",100K+,50K-
613,"Bloomberg Data Engineer, DataSF (1043)","DATA ENGINEER","City and County of San Francisco","San Francisco",CA,"$132,574 - $166,790 a year",150K+,125K+
614,"Staff Data Infrastructure Engineer","DATA ENGINEER",Databricks,"San Francisco",CA,"Estimated $130K - $164K a year",150K+,125K+
615,"Data Engineer","DATA ENGINEER","Human Interest","San Francisco",CA,"Estimated $119K – $150K a year",150K+,100K+
616,"Senior Data Engineer","DATA ENGINEER",Discord,"San Francisco",CA,"$184,700 a year",150K+,150K+
