id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
450,"Data Engineer (Fully Remote)","DATA ENGINEER",BOEING,Seattle,WA,None,None,None
451,"Big Data Software Engineer","DATA ENGINEER",Zillow,Seattle,WA,None,None,None
452,"Data Engineer, Apple Media Products - Experimentation","DATA ENGINEER",Apple,Seattle,WA,None,None,None
453,"Data Scientist/Data Engineer - Computer Vision","DATA ENGINEER",Apple,Seattle,WA,None,None,None
454,"Software Development Engineer - Snowball, Data Center Technologies","DATA ENGINEER","Amazon Web Services, Inc.",Seattle,WA,None,None,None
455,"Data Engineer","DATA ENGINEER",DocuSign,Seattle,WA,"$93,700 - $128,875 a year",125K+,75K+
456,"Data Engineer, Analytics (University Grad)","DATA ENGINEER",Meta,Seattle,WA,None,None,None
457,"Senior Data Engineer","DATA ENGINEER","Disney Streaming",Seattle,WA,None,None,None
458,"Data Engineer","DATA ENGINEER",Glassdoor,Seattle,WA,"Estimated $111K - $140K a year",125K+,100K+
459,"Junior Data Engineer","DATA ENGINEER","Wheelhouse DMG",Seattle,WA,"Estimated $87.5K - $111K a year",100K+,75K+
460,"Data Engineer","DATA ENGINEER","Common Room Job Posts",Seattle,WA,"Estimated $133K - $168K a year",150K+,125K+
461,"Senior Data Engineer","DATA ENGINEER",StockX,Seattle,WA,"Estimated $130K - $164K a year",150K+,125K+
462,"Data Engineer","DATA ENGINEER","Amazon.com Services LLC",Seattle,WA,None,None,None
463,"Data Engineer","DATA ENGINEER",doxo,Seattle,WA,"Estimated $117K - $148K a year",125K+,100K+
464,"Data Engineer","DATA ENGINEER",Linksbridge,Seattle,WA,"Estimated $89K - $113K a year",100K+,75K+
465,"Data Engineer","DATA ENGINEER",CyberCoders,Seattle,WA,"$100,000 - $170,000 a year",150K+,100K+
466,"Software Engineer 2 - Data - Rider Verticals","DATA ENGINEER",Uber,Seattle,WA,None,None,None
467,"Frontend Engineer - Marketplace Intelligence and Data","DATA ENGINEER",Uber,Seattle,WA,None,None,None
468,"Big Data Engineer","DATA ENGINEER","Robert Half",Seattle,WA,"$50 - $60 an hour",100K+,75K+
