job_category,job_city,job_state,word,frequency
"DATA SCIENTIST","New York",NY,models,101
"DATA SCIENTIST","New York",NY,python,85
"DATA SCIENTIST","New York",NY,sql,60
"DATA SCIENTIST","New York",NY,statistics,58
"DATA SCIENTIST","New York",NY,r,56
"DATA SCIENTIST","New York",NY,optimization,46
"DATA SCIENTIST","New York",NY,testing,39
"DATA SCIENTIST","New York",NY,programming,37
"DATA SCIENTIST","New York",NY,cloud,37
"DATA SCIENTIST","New York",NY,ml,36
"DATA SCIENTIST","New York",NY,algorithms,33
"DATA SCIENTIST","New York",NY,performance,32
"DATA SCIENTIST","New York",NY,ai,31
"DATA SCIENTIST","New York",NY,processing,31
"DATA SCIENTIST","New York",NY,mathematics,29
"DATA SCIENTIST","New York",NY,pipelines,26
"DATA SCIENTIST","New York",NY,aws,18
"DATA SCIENTIST","New York",NY,c,18
"DATA SCIENTIST","New York",NY,regression,17
"DATA SCIENTIST","New York",NY,nlp,16
"DATA SCIENTIST","New York",NY,tableau,15
"DATA SCIENTIST","New York",NY,spark,14
"DATA SCIENTIST","New York",NY,monitor,13
"DATA SCIENTIST","New York",NY,modelling,13
"DATA SCIENTIST","New York",NY,mining,12
"DATA SCIENTIST","New York",NY,excel,12
"DATA SCIENTIST","New York",NY,agile,12
"DATA SCIENTIST","New York",NY,java,11
"DATA SCIENTIST","New York",NY,pandas,10
"DATA SCIENTIST","New York",NY,scikit,9
"DATA SCIENTIST","New York",NY,numpy,8
"DATA SCIENTIST","New York",NY,security,8
"DATA SCIENTIST","New York",NY,tensorflow,8
"DATA SCIENTIST","New York",NY,pytorch,8
"DATA SCIENTIST","New York",NY,hadoop,8
"DATA SCIENTIST","New York",NY,scripting,7
"DATA SCIENTIST","New York",NY,etl,7
"DATA SCIENTIST","New York",NY,sas,7
"DATA SCIENTIST","New York",NY,scala,6
"DATA SCIENTIST","New York",NY,azure,6
"DATA SCIENTIST","New York",NY,segmentation,6
"DATA SCIENTIST","New York",NY,hive,6
"DATA SCIENTIST","New York",NY,automation,5
"DATA SCIENTIST","New York",NY,matlab,5
"DATA SCIENTIST","New York",NY,coding,5
"DATA SCIENTIST","New York",NY,solid,5
"DATA SCIENTIST","New York",NY,keras,5
"DATA SCIENTIST","New York",NY,migration,5
"DATA SCIENTIST","New York",NY,kubernetes,5
"DATA SCIENTIST","New York",NY,scipy,4
"DATA SCIENTIST","New York",NY,git,4
"DATA SCIENTIST","New York",NY,svm,3
"DATA SCIENTIST","New York",NY,nosql,3
"DATA SCIENTIST","New York",NY,unix,3
"DATA SCIENTIST","New York",NY,linux,3
"DATA SCIENTIST","New York",NY,matplotlib,3
"DATA SCIENTIST","New York",NY,spss,3
"DATA SCIENTIST","New York",NY,cassandra,2
"DATA SCIENTIST","New York",NY,sklearn,2
"DATA SCIENTIST","New York",NY,javascript,2
"DATA SCIENTIST","New York",NY,knn,2
"DATA SCIENTIST","New York",NY,probability,2
"DATA SCIENTIST","New York",NY,docker,2
"DATA SCIENTIST","New York",NY,weka,1
"DATA SCIENTIST","New York",NY,mongodb,1
"DATA SCIENTIST","New York",NY,hbase,1
"DATA SCIENTIST","New York",NY,qlik,1
"DATA SCIENTIST","New York",NY,searching,1
"DATA SCIENTIST","New York",NY,oop,1
"DATA SCIENTIST","New York",NY,flume,1
"DATA SCIENTIST","New York",NY,scalability,1
