id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
1125,"Data Scientist - Remote","DATA SCIENTIST","Insight Global",Boston,MA,"$105,000 - $140,000 a year",125K+,100K+
1126,"Data Scientist","DATA SCIENTIST","Fidelity Investments",Boston,MA,None,None,None
1127,"Data Scientist","DATA SCIENTIST","Hydrow, Inc.",Boston,MA,None,None,None
1128,"Data Scientist","DATA SCIENTIST","S&P Global",Boston,MA,"$68,300 - $155,900 a year",150K+,50K+
1129,"Supervisory Economist / Statistician (Economics)","DATA SCIENTIST","US Bureau of Labor Statistics",Boston,MA,"$105,654 - $142,595 a year",125K+,100K+
1130,"Data Scientist","DATA SCIENTIST","Boston Children's Hospital",Boston,MA,None,None,None
1131,"Data Scientist","DATA SCIENTIST","Commonwealth Care Alliance",Boston,MA,None,None,None
1132,"Data Scientist","DATA SCIENTIST","Massachusetts General Hospital(MGH)",Boston,MA,None,None,None
1133,"Lead Data Scientist","DATA SCIENTIST","Northeastern University",Boston,MA,None,None,None
1134,"Data Scientist","DATA SCIENTIST",Apexon,Boston,MA,"$105 an hour",200K+,200K+
1135,"Staff Data Scientist","DATA SCIENTIST","Gradient AI",Boston,MA,"$130,000 - $185,000 a year",150K+,125K+
1136,"1628 Data Scientist","DATA SCIENTIST","Infoorigin inc",Boston,MA,"$125,000 - $175,000 a year",150K+,125K+
1137,"Data Scientist","DATA SCIENTIST",Comcentric,Boston,MA,"$139,000 - $276,000 a year",200K+,125K+
1138,"Data Scientist, Analytics","DATA SCIENTIST",TikTok,Boston,MA,None,None,None
1139,"Data Scientist at Sleep Startup","DATA SCIENTIST","Recruiting From Scratch",Boston,MA,"$125,000 - $175,000 a year",150K+,125K+
1140,"Senior Data Scientist","DATA SCIENTIST","Fidelity Investments",Boston,MA,None,None,None
1141,"Machine Learning Engineer","DATA SCIENTIST","Manifold AI",Boston,MA,None,None,None
1142,"Data Scientist","DATA SCIENTIST","Dana-Farber Cancer Institute",Boston,MA,None,None,None
1143,"Principal Data Scientist (Deep Learning / NLP)","DATA SCIENTIST","Fidelity Investments",Boston,MA,None,None,None
1144,"Specialist, Federal Data Modeler","DATA SCIENTIST",KPMG,Boston,MA,None,None,None
1145,"Senior Acquisition Data Scientist (Remote)","DATA SCIENTIST",Drizly,Boston,MA,"$123,000 a year",100K+,100K+
1146,"Data Scientist, Product (Remote)","DATA SCIENTIST",Drizly,Boston,MA,"$110,500 a year",100K+,100K+
1147,"Director, Statistics","DATA SCIENTIST","Takeda Pharmaceutical",Boston,MA,None,None,None
1148,"Data Science Manager","DATA SCIENTIST",Verizon,Boston,MA,None,None,None
1149,"Data Scientist (Remote)","DATA SCIENTIST",Quora,Boston,MA,None,None,None
1150,"Remote Data Science Engineer (Python, Git, Keras) -165k","DATA SCIENTIST","Michael Page",Boston,MA,"$130,000 - $165,000 a year",150K+,125K+
1151,"Data Scientist (Product Analytics)","DATA SCIENTIST",Jellyfish,Boston,MA,None,None,None
1152,"Associate Data Scientist","DATA SCIENTIST","Corvus Insurance",Boston,MA,None,None,None
1153,"Principal Data Scientist - Forecasting & Optimization","DATA SCIENTIST",Verizon,Boston,MA,None,None,None
1154,"Senior Data Scientist, ESG Innovation and Solutions","DATA SCIENTIST","S&P Global",Boston,MA,"$82,600 - $230,200 a year",200K+,75K+
1155,"Data Scientist at Sleep Startup","DATA SCIENTIST","Recruiting From Scratch",Boston,MA,"$125,000 - $175,000 a year",150K+,125K+
1156,"Senior Data Scientist","DATA SCIENTIST",CyberCoders,Boston,MA,"$170,000 a year",150K+,150K+
1157,"Senior Data Scientist","DATA SCIENTIST","Commonwealth Care Alliance",Boston,MA,None,None,None
1158,"Senior Data Scientist","DATA SCIENTIST","Northeastern University",Boston,MA,None,None,None
1159,"Principal Data Engineer","DATA SCIENTIST","Fidelity Investments",Boston,MA,None,None,None
1160,"Senior Data Scientist, EFS","DATA SCIENTIST","Amazon Dev Center U.S., Inc.",Boston,MA,None,None,None
1161,"Statistician/Data Scientist","DATA SCIENTIST","Harvard University",Boston,MA,None,None,None
1162,"Principal Data Scientist","DATA SCIENTIST",Anthem,Boston,MA,None,None,None
1163,"Data Modeler","DATA SCIENTIST",Accenture,Boston,MA,None,None,None
1164,"Data Scientist, ASK International Data","DATA SCIENTIST","Amazon.com Services LLC",Boston,MA,None,None,None
1165,"Data Scientist/Senior Data Scientist","DATA SCIENTIST",Tive,Boston,MA,None,None,None
1166,"Data Scientist","DATA SCIENTIST","Blue Cross Blue Shield of Massachusetts",Boston,MA,None,None,None
1167,"Senior Data Scientist","DATA SCIENTIST",Genpact,Boston,MA,"$120,000 - $140,000 a year",125K+,100K+
1168,"DATA SCIENTIST","DATA SCIENTIST","Coin Metrics",Boston,MA,None,None,None
1169,"Data Scientist","DATA SCIENTIST",OM1,Boston,MA,None,None,None
1170,Statistician,"DATA SCIENTIST","Karen Clark and Company",Boston,MA,"$54,393 - $133,224 a year",125K+,50K+
1171,"Senior Data Scientist","DATA SCIENTIST","Varsity Tutors",Boston,MA,None,None,None
1172,"Product Owner - Data & Analytics - REMOTE","DATA SCIENTIST","New Balance",Boston,MA,None,None,None
1173,"Senior Data Scientist","DATA SCIENTIST",Eon,Boston,MA,"$130,000 - $150,000 a year",150K+,125K+
1174,"Associate Data Scientist","DATA SCIENTIST",RadNet,Boston,MA,None,None,None
1175,"Senior Machine Learning Engineer (Remote)","DATA SCIENTIST",Drizly,Boston,MA,"$162,200 a year",150K+,150K+
1176,"Machine Learning Scientist","DATA SCIENTIST",Glassdoor,Boston,MA,"$129,300 - $193,900 a year",150K+,125K+
1177,"Lead Data Scientist (Remote)","DATA SCIENTIST",Humana,Boston,MA,None,None,None
1178,"Data Scientist","DATA SCIENTIST","John Hancock",Boston,MA,None,None,None
1179,"Senior Data Scientist","DATA SCIENTIST","Azurity Pharmaceuticals",Boston,MA,None,None,None
1180,"Senior Data Scientist","DATA SCIENTIST",Angi,Boston,MA,None,None,None
1181,"Senior Data Analyst","DATA SCIENTIST","Epic Games",Boston,MA,None,None,None
1182,"Staff Data Scientist","DATA SCIENTIST",Thrasio,Boston,MA,None,None,None
1183,"Principal Scientist, Data Science (JRD DS)","DATA SCIENTIST","Johnson & Johnson",Boston,MA,None,None,None
1184,"Data Scientist","DATA SCIENTIST","Massachusetts General Hospital(MGH)",Boston,MA,None,None,None
1185,"Senior Scientist, Data Science","DATA SCIENTIST","XPO Logistics",Boston,MA,None,None,None
1186,"Data Scientist, Growth","DATA SCIENTIST",Spotify,Boston,MA,None,None,None
1187,"Applied Data Scientist - Forecasting","DATA SCIENTIST",Wayfair,Boston,MA,None,None,None
1188,"Remote - Data Scientist (Python, Pandas) Up to $165k base+bonus","DATA SCIENTIST","Michael Page",Boston,MA,"$140,000 - $165,000 a year",150K+,125K+
1189,"Product Manager, Data Science","DATA SCIENTIST",Salesforce,Boston,MA,None,None,None
1190,"Senior Data Scientist - Deep Learning","DATA SCIENTIST","CVS Health",Boston,MA,None,None,None
1191,"Quantitative Research Analyst","DATA SCIENTIST","S&P Global",Boston,MA,"$100,000 - $130,000 a year",125K+,100K+
1192,"Data Science & Machine Learning SA w/ Conversational AI","DATA SCIENTIST","PRICE WATERHOUSE COOPERS",Boston,MA,None,None,None
1193,"Principal Data Scientist-Marketing Algorithms","DATA SCIENTIST",Wayfair,Boston,MA,None,None,None
1194,"Bioprocess Data Scientist (Remote)","DATA SCIENTIST",IDBS,Boston,MA,None,None,None
1195,"Data Scientist","DATA SCIENTIST","Vectra AI",Boston,MA,None,None,None
1196,"Principal Computer Vision and Machine Learning Engineer","DATA SCIENTIST","Dexai Robotics",Boston,MA,None,None,None
1197,"Senior Scientist, Computational Biology/Data Science","DATA SCIENTIST",Merck,Boston,MA,None,None,None
1198,"Senior Machine Learning Engineer","DATA SCIENTIST","Fidelity Investments",Boston,MA,None,None,None
1199,"Engineering Manager - Machine Learning","DATA SCIENTIST","Magna International Inc.",Boston,MA,None,None,None
