id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
1200,"Junior Data Scientist (Remote)","DATA SCIENTIST","Santanna Energy Services",Chicago,IL,"Estimated $65.2K – $82.6K a year",75K+,50K+
1201,"Staff Data Scientist- Trust and Safety","DATA SCIENTIST",Indeed,Chicago,IL,"$149,000 - $217,000 a year",200K+,125K+
1202,"Senior Data Scientist - Enterprise Candidate Delivery","DATA SCIENTIST",Indeed,Chicago,IL,"$139,000 - $201,000 a year",200K+,125K+
1203,"Senior Data Scientist, Marketing Analytics","DATA SCIENTIST",LegalZoom,Chicago,IL,"Estimated $128K – $162K a year",150K+,125K+
1204,"Data Scientist / Statistical Modeler","DATA SCIENTIST","BMO Harris Bank",Chicago,IL,None,None,None
1205,"Data Scientist","DATA SCIENTIST","Gables Search Group",Chicago,IL,"$85,000 - $135,000 a year",125K+,75K+
1206,"Data Scientist","DATA SCIENTIST",CyberCoders,Chicago,IL,"$100,000 - $110,000 a year",100K+,100K+
1207,"Data Scientist","DATA SCIENTIST",MARS,Chicago,IL,None,None,None
1208,"Data Scientist - Biotechnology","DATA SCIENTIST","Momentum Staffing Group LLC",Chicago,IL,"Estimated $99K – $125K a year",125K+,75K+
1209,"Data Scientist","DATA SCIENTIST",NinjaHoldings,Chicago,IL,"Estimated $116K – $147K a year",125K+,100K+
1210,"Associate Data Scientist","DATA SCIENTIST",Concurrency,Chicago,IL,"Estimated $76.4K – $96.8K a year",75K+,75K+
1211,"Data Scientist (Remote Opportunity)","DATA SCIENTIST","Kraft Heinz Company",Chicago,IL,None,None,None
1212,"Data Scientist","DATA SCIENTIST","Northwestern Medicine",Chicago,IL,None,None,None
1213,"Data Scientist","DATA SCIENTIST",WALGREENS,Chicago,IL,None,None,None
1214,"Data Scientist (Chicago or Remote)","DATA SCIENTIST","W. Capra Consulting Group",Chicago,IL,"Estimated $117K – $148K a year",125K+,100K+
1215,"Data Scientist, Product Analytics","DATA SCIENTIST","Teladoc Health",Chicago,IL,"$95,000 - $110,000 a year",100K+,75K+
1216,"Data Scientist","DATA SCIENTIST","The University of Chicago Medicine",Chicago,IL,None,None,None
1217,"Senior Data Scientist","DATA SCIENTIST",MARS,Chicago,IL,None,None,None
1218,"Data Scientist","DATA SCIENTIST",MARS,Chicago,IL,None,None,None
1219,"Machine Learning Eng Associate","DATA SCIENTIST","Northwestern Medicine",Chicago,IL,None,None,None
1220,"Data Scientist","DATA SCIENTIST",Brown-Forman,Chicago,IL,None,None,None
1221,"Data Scientist I","DATA SCIENTIST",Abbvie,Chicago,IL,None,None,None
1222,"Senior Data Analyst","DATA SCIENTIST",Shortcut,Chicago,IL,"$90,000 - $110,000 a year",100K+,75K+
1223,"Data Scientist II, Cat Digital","DATA SCIENTIST",Caterpillar,Chicago,IL,None,None,None
1224,"Machine Learning Data Scientist","DATA SCIENTIST",Ascension,Chicago,IL,None,None,None
1225,"Data Scientist - Ads Optimization","DATA SCIENTIST",Comcentric,Chicago,IL,"$139,000 - $225,000 a year",200K+,125K+
