id,job_category,job_list_name,company_name,job_city,job_state,indeed_salary,salary_range_high,salary_range_low
900,"Data Scientist","DATA SCIENTIST","Opanga Networks",Seattle,WA,"From $65,000 a year",50K+,50K+
901,"Associate Data Scientist","DATA SCIENTIST",BOEING,Seattle,WA,None,None,None
902,"Staff Data Scientist, Partnerships","DATA SCIENTIST",LegalZoom,Seattle,WA,"Estimated $104K - $132K a year",125K+,100K+
903,"Senior Data Scientist - Enterprise Candidate Delivery","DATA SCIENTIST",Indeed,Seattle,WA,"$139,000 - $201,000 a year",200K+,125K+
904,"Staff Data Scientist - Recommendations","DATA SCIENTIST",Indeed,Seattle,WA,"$183,000 - $266,000 a year",200K+,150K+
905,"Data Scientist - Apple Maps","DATA SCIENTIST",Apple,Seattle,WA,None,None,None
906,"AI/ML - Sr. Data Scientist - Statistician, AI/ML Data","DATA SCIENTIST",Apple,Seattle,WA,None,None,None
907,"Senior Data Scientist, Marketing Analytics","DATA SCIENTIST",LegalZoom,Seattle,WA,"Estimated $137K - $174K a year",150K+,125K+
908,"Data Scientist","DATA SCIENTIST","Varsity Tutors",Seattle,WA,None,None,None
909,"data scientist (multiple openings) - Remote","DATA SCIENTIST",Starbucks,Seattle,WA,None,None,None
910,"Early Career Data Scientist - Artificial Intelligence","DATA SCIENTIST","Pacific Northwest National Laboratory",Seattle,WA,"Estimated $86.2K - $109K a year",100K+,75K+
911,"Data Scientist - Intermediate","DATA SCIENTIST",Bayer,Seattle,WA,None,None,None
912,"Data Scientist at Sleep Startup","DATA SCIENTIST","Recruiting From Scratch",Seattle,WA,"$125,000 - $175,000 a year",150K+,125K+
913,"decision scientist - Remote","DATA SCIENTIST",Starbucks,Seattle,WA,None,None,None
914,"Product Data Scientist","DATA SCIENTIST","Rec Room",Seattle,WA,"$125,000 - $170,000 a year",150K+,125K+
915,"Data Scientist / Senior Data Scientist, Analytics","DATA SCIENTIST",DoorDash,Seattle,WA,None,None,None
916,"Data Scientist Opening #406043","DATA SCIENTIST","Rose International",Seattle,WA,None,None,None
